filname,subject,session,g1,g2,g3,g4,g5,g6,g7,g8,accuracy,w,at,alpha
data/suzanne_45.dat,suza,2,0.96468,0.958242,0.944568,0.926036,0.909492,0.955556,0.960352,0.973392,0.94904,20,0.2,0.4
data/mirjam_45.dat,mirj,2,0.94235,0.903084,0.9,0.763314,0.977778,0.928889,0.938326,0.895323,0.906133,20,0.2,0.4
data/marije_45.dat,mari,2,0.918502,0.965909,0.928571,0.975684,0.947964,0.961712,0.909297,0.908665,0.939538,20,0.2,0.4
data/dan_45.dat,dan_,2,0.959911,0.940265,0.886667,0.922156,0.946903,0.94469,0.860619,0.944196,0.925676,20,0.2,0.5
data/jan_45.dat,jan_,2,0.933628,0.807095,0.900222,0.800587,0.931718,0.911308,0.935841,0.964602,0.898125,20,0.2,0.5
data/lien_45.dat,lien,2,0.816372,0.916115,0.96468,0.911504,0.913526,0.975717,0.933333,0.962389,0.924205,20,0.2,0.5
data/maki_45.dat,maki,2,0.915743,0.931264,0.917778,0.991124,0.97561,0.960265,0.94235,0.955752,0.948736,20,0.2,0.5
data/marco_45.dat,marc,2,0.96468,0.944812,0.960177,0.934911,0.903084,0.958057,0.953744,0.964444,0.947989,20,0.2,0.5
data/nico_45.dat,nico,2,0.977974,0.962389,0.953437,0.844118,0.966887,0.911111,0.969095,0.960177,0.943148,20,0.2,0.5
data/suzanne_45.dat,suza,2,0.966887,0.96044,0.966741,0.943787,0.922737,0.957778,0.962555,0.980044,0.957621,20,0.2,0.5
data/mirjam_45.dat,mirj,2,0.933481,0.905286,0.902222,0.754438,0.964444,0.928889,0.933921,0.886414,0.901137,20,0.2,0.5
data/marije_45.dat,mari,2,0.920705,0.968182,0.930804,0.969605,0.952489,0.968468,0.907029,0.906323,0.940451,20,0.2,0.5
data/dan_45.dat,dan_,2,0.959911,0.94469,0.893333,0.931138,0.949115,0.946903,0.865044,0.946429,0.92957,20,0.2,0.6
data/jan_45.dat,jan_,2,0.933628,0.813747,0.900222,0.797654,0.933921,0.909091,0.938053,0.964602,0.898865,20,0.2,0.6
data/lien_45.dat,lien,2,0.816372,0.918322,0.969095,0.914454,0.922395,0.975717,0.931111,0.962389,0.926232,20,0.2,0.6
data/maki_45.dat,maki,2,0.920177,0.929047,0.922222,0.991124,0.980044,0.962472,0.937916,0.955752,0.949844,20,0.2,0.6
data/marco_45.dat,marc,2,0.96468,0.949227,0.962389,0.946746,0.905286,0.958057,0.955947,0.966667,0.951125,20,0.2,0.6
data/nico_45.dat,nico,2,0.977974,0.964602,0.953437,0.847059,0.96468,0.913333,0.97351,0.960177,0.944346,20,0.2,0.6
data/suzanne_45.dat,suza,2,0.966887,0.964835,0.966741,0.946746,0.92936,0.957778,0.962555,0.980044,0.959368,20,0.2,0.6
data/mirjam_45.dat,mirj,2,0.931264,0.9163,0.902222,0.751479,0.957778,0.937778,0.931718,0.890869,0.902426,20,0.2,0.6
data/marije_45.dat,mari,2,0.927313,0.968182,0.921875,0.969605,0.954751,0.970721,0.904762,0.908665,0.940734,20,0.2,0.6
data/dan_45.dat,dan_,2,0.959911,0.942478,0.9,0.937126,0.949115,0.94469,0.858407,0.950893,0.930327,20,0.2,0.7
data/jan_45.dat,jan_,2,0.935841,0.81153,0.898004,0.803519,0.931718,0.909091,0.94469,0.964602,0.899874,20,0.2,0.7
data/lien_45.dat,lien,2,0.818584,0.918322,0.971302,0.926254,0.926829,0.975717,0.931111,0.964602,0.92909,20,0.2,0.7
data/maki_45.dat,maki,2,0.922395,0.929047,0.92,0.994083,0.982262,0.962472,0.935698,0.957965,0.95049,20,0.2,0.7
data/marco_45.dat,marc,2,0.96468,0.951435,0.964602,0.93787,0.907489,0.958057,0.964758,0.966667,0.951945,20,0.2,0.7
data/nico_45.dat,nico,2,0.969163,0.964602,0.953437,0.847059,0.96468,0.911111,0.977925,0.962389,0.943796,20,0.2,0.7
data/suzanne_45.dat,suza,2,0.966887,0.964835,0.968958,0.949704,0.931567,0.957778,0.962555,0.982262,0.960568,20,0.2,0.7
data/mirjam_45.dat,mirj,2,0.931264,0.914097,0.904444,0.748521,0.955556,0.933333,0.92511,0.888641,0.900121,20,0.2,0.7
data/marije_45.dat,mari,2,0.931718,0.970455,0.917411,0.957447,0.954751,0.972973,0.902494,0.908665,0.939489,20,0.2,0.7
data/dan_45.dat,dan_,2,0.959911,0.94469,0.904444,0.937126,0.949115,0.946903,0.856195,0.948661,0.930881,20,0.2,0.8
data/jan_45.dat,jan_,2,0.935841,0.813747,0.904656,0.800587,0.931718,0.913526,0.949115,0.962389,0.901447,20,0.2,0.8
data/lien_45.dat,lien,2,0.816372,0.922737,0.971302,0.935103,0.929047,0.971302,0.937778,0.964602,0.93103,20,0.2,0.8
data/maki_45.dat,maki,2,0.920177,0.926829,0.92,0.994083,0.982262,0.962472,0.937916,0.957965,0.950213,20,0.2,0.8
data/marco_45.dat,marc,2,0.966887,0.953642,0.964602,0.931953,0.907489,0.958057,0.969163,0.966667,0.952308,20,0.2,0.8
data/nico_45.dat,nico,2,0.96696,0.964602,0.957871,0.85,0.96468,0.913333,0.980132,0.962389,0.944996,20,0.2,0.8
data/suzanne_45.dat,suza,2,0.966887,0.964835,0.971175,0.95858,0.931567,0.96,0.964758,0.980044,0.962231,20,0.2,0.8
data/mirjam_45.dat,mirj,2,0.926829,0.9163,0.902222,0.736686,0.951111,0.933333,0.905286,0.88196,0.894216,20,0.2,0.8
data/marije_45.dat,mari,2,0.931718,0.972727,0.917411,0.948328,0.954751,0.972973,0.904762,0.901639,0.938039,20,0.2,0.8
data/dan_45.dat,dan_,2,0.959911,0.946903,0.902222,0.943114,0.949115,0.949115,0.862832,0.948661,0.932734,20,0.2,0.9
data/jan_45.dat,jan_,2,0.935841,0.818182,0.902439,0.800587,0.933921,0.913526,0.949115,0.960177,0.901723,20,0.2,0.9
data/lien_45.dat,lien,2,0.816372,0.922737,0.969095,0.935103,0.929047,0.962472,0.937778,0.964602,0.929651,20,0.2,0.9
data/maki_45.dat,maki,2,0.920177,0.926829,0.92,0.994083,0.980044,0.962472,0.935698,0.957965,0.949659,20,0.2,0.9
data/marco_45.dat,marc,2,0.966887,0.953642,0.964602,0.934911,0.914097,0.960265,0.971366,0.966667,0.954055,20,0.2,0.9
data/nico_45.dat,nico,2,0.960352,0.964602,0.957871,0.847059,0.96468,0.917778,0.980132,0.962389,0.944358,20,0.2,0.9
data/suzanne_45.dat,suza,2,0.969095,0.967033,0.973392,0.95858,0.92936,0.96,0.964758,0.980044,0.962783,20,0.2,0.9
data/mirjam_45.dat,mirj,2,0.920177,0.9163,0.902222,0.730769,0.946667,0.931111,0.900881,0.884187,0.891539,20,0.2,0.9
data/marije_45.dat,mari,2,0.927313,0.972727,0.915179,0.951368,0.957014,0.972973,0.900227,0.899297,0.937012,20,0.2,0.9
data/dan_45.dat,dan_,2,0.959911,0.949115,0.904444,0.946108,0.949115,0.949115,0.858407,0.948661,0.93311,20,0.2,1
data/jan_45.dat,jan_,2,0.935841,0.818182,0.900222,0.800587,0.936123,0.922395,0.95354,0.957965,0.903107,20,0.2,1
data/lien_45.dat,lien,2,0.818584,0.92053,0.969095,0.932153,0.931264,0.962472,0.937778,0.964602,0.92956,20,0.2,1
data/maki_45.dat,maki,2,0.920177,0.929047,0.92,0.994083,0.982262,0.962472,0.935698,0.960177,0.95049,20,0.2,1
data/marco_45.dat,marc,2,0.966887,0.958057,0.964602,0.93787,0.9163,0.960265,0.975771,0.968889,0.95608,20,0.2,1
data/nico_45.dat,nico,2,0.960352,0.964602,0.957871,0.847059,0.96468,0.917778,0.980132,0.962389,0.944358,20,0.2,1
data/suzanne_45.dat,suza,2,0.969095,0.964835,0.973392,0.961538,0.931567,0.96,0.964758,0.982262,0.963431,20,0.2,1
data/mirjam_45.dat,mirj,2,0.920177,0.918502,0.904444,0.733728,0.944444,0.933333,0.887665,0.88196,0.890532,20,0.2,1
data/marije_45.dat,mari,2,0.929515,0.972727,0.915179,0.951368,0.957014,0.975225,0.900227,0.896955,0.937276,20,0.2,1
data/dan_90.dat,dan_,3,0.936264,0.854945,0.84,0.887906,0.973392,0.923077,0.874172,0.844789,0.891818,20,0.2,0.1
data/jan_90.dat,jan_,3,0.874172,0.865342,0.85872,0.870588,0.864745,0.967033,0.900662,0.883002,0.885533,20,0.2,0.1
data/lien_90.dat,lien,3,0.861538,0.886918,0.929047,0.879765,0.89404,0.89357,0.933775,0.971175,0.906229,20,0.2,0.1
data/maki_90.dat,maki,3,0.915556,0.913526,0.86,0.87574,0.780973,0.838496,0.922395,0.757778,0.858058,20,0.2,0.1
data/marco_90.dat,marc,3,0.92053,0.738359,0.856512,0.908555,0.877193,0.918142,0.933921,0.90287,0.88201,20,0.2,0.1
data/nico_90.dat,nico,3,0.947137,0.884956,0.871397,0.909091,0.768722,0.905495,0.880266,0.971429,0.892311,20,0.2,0.1
data/suzanne_90.dat,suza,3,0.865639,0.875831,0.838137,0.887906,0.86918,0.903297,0.909091,0.924612,0.884212,20,0.2,0.1
data/mirjam_90.dat,mirj,3,0.863436,0.87033,0.859341,0.801187,0.927632,0.911111,0.914097,0.928412,0.884443,20,0.2,0.1
data/marije_90.dat,mari,3,0.902655,0.938326,0.929204,0.91369,0.877506,0.903587,0.933775,0.93819,0.917117,20,0.2,0.1
data/dan_90.dat,dan_,3,0.958242,0.863736,0.846667,0.896755,0.949002,0.949451,0.900662,0.924612,0.911141,20,0.2,0.2
data/jan_90.dat,jan_,3,0.891832,0.933775,0.89404,0.861765,0.895787,0.971429,0.918322,0.935982,0.912866,20,0.2,0.2
